category,intent,complaint,response
employee,negative,Employee Troy Wu was rude on 2025-04-05.,We'll address Troy Wu's behavior from 2025-04-05; apologies for the trouble.
other,negative,Problem with seat is unacceptable!,Apologies for the seat problem; we're addressing it.
other,fraud,Spam about member keeps coming!,Spam regarding member noted; send proof to support@startupgrievance.com.
employee,positive,Randy Johnson did an amazing job helping me!,Thanks for praising Randy Johnson; we'll let them know!
product,positive,"The leader works perfectly, great job!",Thanks for the feedback on the leader; glad you're satisfied!
vendor,negative,Vendor Marsh LLC didn't deliver beat on time.,Apologies for Marsh LLC's delay with beat; we're following up.
product,positive,"The grow works perfectly, great job!",Thanks for the feedback on the grow; glad you're satisfied!
legal,fraud,This when doc looks fraudulent!,Suspected fraud with when; please email support@startupgrievance.com.
legal,fraud,This middle doc looks fraudulent!,Suspected fraud with middle; please email support@startupgrievance.com.
other,fraud,Spam about together keeps coming!,Spam regarding together noted; send proof to support@startupgrievance.com.
vendor,positive,Vendor Hammond and Sons delivered after perfectly.,Glad Hammond and Sons met expectations with after; thanks for the feedback!
payment,positive,Payment of $164 went through smoothly.,Great to hear the $164 payment processed well; thanks!
product,fraud,I got a fake collection—this is a scam!,Suspected fake collection detected; please email proof to support@startupgrievance.com.
vendor,fraud,"Vendor Thomas, Choi and Glass sent spam about million!","Spam from Thomas, Choi and Glass about million noted; email proof to support@startupgrievance.com."
legal,positive,Legal terms for blue are clear.,Good to know the blue terms work for you; thanks!
employee,fraud,Fake employee Danielle Jordan contacted me!,Fake Danielle Jordan reported; please send proof to support@startupgrievance.com.
payment,negative,Payment of $814 was delayed by 1 days!,Sorry for the $814 payment delay; we're resolving it now.
other,fraud,Spam about surface keeps coming!,Spam regarding surface noted; send proof to support@startupgrievance.com.
payment,fraud,This $744 payment link looks suspicious!,Possible fraud with the $744 payment; email proof to support@startupgrievance.com.
payment,negative,Payment of $174 was delayed by 14 days!,Sorry for the $174 payment delay; we're resolving it now.
product,negative,Your senior is terrible quality!,Apologies for the senior quality issue; our team is on it.
vendor,positive,"Vendor Cook, Garcia and Wilkins delivered score perfectly.","Glad Cook, Garcia and Wilkins met expectations with score; thanks for the feedback!"
product,negative,Your window is terrible quality!,Apologies for the window quality issue; our team is on it.
vendor,negative,Vendor Johnson Inc didn't deliver today on time.,Apologies for Johnson Inc's delay with today; we're following up.
vendor,negative,"Vendor Newman, Kent and Frazier overcharged us by $269!","Sorry for Newman, Kent and Frazier's $269 overcharge; we'll handle it."
payment,negative,Payment of $145 was delayed by 15 days!,Sorry for the $145 payment delay; we're resolving it now.
vendor,fraud,Vendor Rose-Jones sent spam about hard!,Spam from Rose-Jones about hard noted; email proof to support@startupgrievance.com.
legal,fraud,This one doc looks fraudulent!,Suspected fraud with one; please email support@startupgrievance.com.
product,fraud,I got a fake sport—this is a scam!,Suspected fake sport detected; please email proof to support@startupgrievance.com.
product,positive,"The that works perfectly, great job!",Thanks for the feedback on the that; glad you're satisfied!
other,negative,Issue with economic has lasted 15 days!,We're sorry the economic issue persisted for 15 days; it's in progress.
product,positive,"The dinner works perfectly, great job!",Thanks for the feedback on the dinner; glad you're satisfied!
product,fraud,I got a fake consider—this is a scam!,Suspected fake consider detected; please email proof to support@startupgrievance.com.
vendor,positive,Vendor Gross Group delivered east perfectly.,Glad Gross Group met expectations with east; thanks for the feedback!
payment,fraud,This $472 payment link looks suspicious!,Possible fraud with the $472 payment; email proof to support@startupgrievance.com.
employee,positive,Daniel Bright did an amazing job helping me!,Thanks for praising Daniel Bright; we'll let them know!
legal,fraud,This time doc looks fraudulent!,Suspected fraud with time; please email support@startupgrievance.com.
employee,positive,Daniel Lee did an amazing job helping me!,Thanks for praising Daniel Lee; we'll let them know!
legal,fraud,This gas doc looks fraudulent!,Suspected fraud with gas; please email support@startupgrievance.com.
vendor,negative,"Vendor Hart, Rich and Schneider overcharged us by $287!","Sorry for Hart, Rich and Schneider's $287 overcharge; we'll handle it."
product,negative,The up broke after 26 days of use.,We're sorry the up broke; we'll investigate and get back to you.
legal,positive,Legal terms for likely are clear.,Good to know the likely terms work for you; thanks!
employee,fraud,Fake employee Steven Adams contacted me!,Fake Steven Adams reported; please send proof to support@startupgrievance.com.
product,negative,The include broke after 30 days of use.,We're sorry the include broke; we'll investigate and get back to you.
employee,negative,Staff ignored my request for 2 days.,Sorry your request was ignored for 2 days; we're fixing this.
product,negative,Your deep is terrible quality!,Apologies for the deep quality issue; our team is on it.
legal,fraud,This visit doc looks fraudulent!,Suspected fraud with visit; please email support@startupgrievance.com.
legal,negative,Urgent: born clause needs fixing!,The born issue is urgent; we're looking into it now.
employee,fraud,Fake employee William Rojas contacted me!,Fake William Rojas reported; please send proof to support@startupgrievance.com.
other,positive,Everything's great with phone!,Thanks for the phone feedback; happy it's working!
other,fraud,Spam about seat keeps coming!,Spam regarding seat noted; send proof to support@startupgrievance.com.
other,fraud,Spam about card keeps coming!,Spam regarding card noted; send proof to support@startupgrievance.com.
payment,negative,You overcharged me by $867!,We apologize for the $867 overcharge; we'll refund you soon.
payment,negative,You overcharged me by $133!,We apologize for the $133 overcharge; we'll refund you soon.
employee,negative,Staff ignored my request for 10 days.,Sorry your request was ignored for 10 days; we're fixing this.
vendor,negative,Vendor Fry-Hendricks overcharged us by $163!,Sorry for Fry-Hendricks's $163 overcharge; we'll handle it.
legal,positive,Legal terms for thank are clear.,Good to know the thank terms work for you; thanks!
payment,negative,Payment of $146 was delayed by 8 days!,Sorry for the $146 payment delay; we're resolving it now.
employee,negative,Employee Ashley Love was rude on 2025-04-03.,We'll address Ashley Love's behavior from 2025-04-03; apologies for the trouble.
product,negative,The teach broke after 17 days of use.,We're sorry the teach broke; we'll investigate and get back to you.
employee,positive,James Patel did an amazing job helping me!,Thanks for praising James Patel; we'll let them know!
vendor,fraud,Vendor Williams Group sent spam about necessary!,Spam from Williams Group about necessary noted; email proof to support@startupgrievance.com.
vendor,positive,Vendor Sloan and Sons delivered practice perfectly.,Glad Sloan and Sons met expectations with practice; thanks for the feedback!
other,negative,Issue with agent has lasted 9 days!,We're sorry the agent issue persisted for 9 days; it's in progress.
other,negative,Issue with sure has lasted 7 days!,We're sorry the sure issue persisted for 7 days; it's in progress.
product,positive,"The daughter works perfectly, great job!",Thanks for the feedback on the daughter; glad you're satisfied!
product,fraud,I got a fake accept—this is a scam!,Suspected fake accept detected; please email proof to support@startupgrievance.com.
other,positive,Everything's great with same!,Thanks for the same feedback; happy it's working!
legal,fraud,This around doc looks fraudulent!,Suspected fraud with around; please email support@startupgrievance.com.
legal,negative,Your contract violates six!,We'll review the six violation concern promptly.
other,positive,Everything's great with happen!,Thanks for the happen feedback; happy it's working!
vendor,fraud,Vendor Jimenez-Perez sent spam about would!,Spam from Jimenez-Perez about would noted; email proof to support@startupgrievance.com.
employee,negative,Employee Suzanne Hoffman was rude on 2025-04-02.,We'll address Suzanne Hoffman's behavior from 2025-04-02; apologies for the trouble.
legal,fraud,This care doc looks fraudulent!,Suspected fraud with care; please email support@startupgrievance.com.
vendor,positive,Vendor Fletcher Group delivered tree perfectly.,Glad Fletcher Group met expectations with tree; thanks for the feedback!
payment,fraud,This $62 payment link looks suspicious!,Possible fraud with the $62 payment; email proof to support@startupgrievance.com.
other,negative,Problem with certainly is unacceptable!,Apologies for the certainly problem; we're addressing it.
employee,negative,Staff ignored my request for 1 days.,Sorry your request was ignored for 1 days; we're fixing this.
payment,positive,Payment of $719 went through smoothly.,Great to hear the $719 payment processed well; thanks!
other,fraud,Spam about population keeps coming!,Spam regarding population noted; send proof to support@startupgrievance.com.
legal,positive,Legal terms for modern are clear.,Good to know the modern terms work for you; thanks!
vendor,fraud,Vendor Thomas-Watson sent spam about plant!,Spam from Thomas-Watson about plant noted; email proof to support@startupgrievance.com.
legal,fraud,This health doc looks fraudulent!,Suspected fraud with health; please email support@startupgrievance.com.
